term;cat_answer;Func_answer;ant_answer;syn_answer;comp_answer;;;;;;;;;;;;;;;;;;;;
First;Order;Cheer;Last;One;Competition ;;;;;;;;;;;;;;;;;;;;
Bed;Furniture ;Sleep;Stand ;Bunk;Bedroom;;;;;;;;;;;;;;;;;;;;
Carrot;Vegetable;Eat;Blueberry ;Root vegetable;Soup;;;;;;;;;;;;;;;;;;;;
Cat;Animal;Meow;Dog;Kitten;Clowder ;;;;;;;;;;;;;;;;;;;;
Lunch;Meal;Eat;Dinner;Midday meal;Buffet;;;;;;;;;;;;;;;;;;;;
Ring;Jewerly;Propose;Silence;Band;Chainmail;;;;;;;;;;;;;;;;;;;;
Rose;Flower;Admire ;Weed;Pink ;Bouquet ;;;;;;;;;;;;;;;;;;;;
Sad;Emotion ;Cry;Happy;Somber ;Depression;;;;;;;;;;;;;;;;;;;;
Sweden;Country;Travel;Brazil;Svealand ;Scandinavia ;;;;;;;;;;;;;;;;;;;;
Tea;Beverage;Sip ;Coffee;Chai;Tea assortment;;;;;;;;;;;;;;;;;;;;
Coffee;Beverage ;Drink ;Sleeping medicine ;Caffeine;Coffee Estate;;;;;;;;;;;;;;;;;;;;
Turkey;Bird ;Fly;Hummingbird ;Meleagris ;Thanksgiving ;;;;;;;;;;;;;;;;;;;;
Bee ;Pollinator ;Polinate;Wasp;Bumblebee;Hive ;;;;;;;;;;;;;;;;;;;;
Bull;Animal;Run;Cow;Ox;Encierro ;;;;;;;;;;;;;;;;;;;;
Chemist;Profession ;Distill;Customer ;Pharmacist;Laboratory ;;;;;;;;;;;;;;;;;;;;
Basketball;Sport ;Dribble;Football;B-Ball ;NBA;;;;;;;;;;;;;;;;;;;;
Gun;Weapon;Shoot;Shield;Pistol;War;;;;;;;;;;;;;;;;;;;;
Lobster;Animal;Crawl;Vegetable;Homaridae;Pod ;;;;;;;;;;;;;;;;;;;;
Robin;Bird;Chirp;Quiet;Songbird;Flock;;;;;;;;;;;;;;;;;;;;
